"num";"Наименование Технологические элементы(label)";"Код Технологические элементы(value)";"Комментарии";"Используемое изображение";"Другие варианты изображения";"Готово к проду"
"1";"Технический компонент";"default";"Технический компонент без указания технологии";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/default.png?version=1&modificationDate=1628512909755&api=v2"";""Image"")";;"+"
"2";"Ignite";"IGNITE";"СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/ignite.jpg?version=1&modificationDate=1628515226826&api=v2"";""Image"")";;"+"
"3";"Oracle";"ORACLE";"СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/oracle_Db.png?version=1&modificationDate=1628515256447&api=v2"";""Image"")";;"+"
"4";"PostgreSQL";"POSTGRESQL";"СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/postgre_Db.svg.png?version=1&modificationDate=1628515278475&api=v2"";""Image"")";;"+"
"5";"MongoDB";"MONGODB";"СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/mongo_Db.png?version=1&modificationDate=1628515295993&api=v2"";""Image"")";;"+"
"6";"JBoss WildFly";"JBOSS_WILDFLY";"Серверная часть \ Web-контент (статика, клиентский JS, стили …)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/wildfly.png?version=1&modificationDate=1628515388876&api=v2"";""Image"")";;"+"
"7";"Nginx";"NGINX";"Серверная часть \ Web-контент (статика, клиентский JS, стили …)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/Nginx.png?version=1&modificationDate=1628515407987&api=v2"";""Image"")";;"+"
"8";"Websphere Application Server";"WEBSPHERE_APPLICATION_SERVER";"Серверная часть \ All in One (логика + презентация + …)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/websphere.png?version=1&modificationDate=1628515426159&api=v2"";""Image"")";;"+"
"9";"Apache Kafka";"APACHE_KAFKA";"Интеграционные компоненты \ Интеграционные поток / Message Flow";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/Apache_kafka-icon.svg.png?version=1&modificationDate=1628515444500&api=v2"";""Image"")";;"+"
"10";"ZeroMQ";"ZEROMQ";"Интеграционные поток / Message Flow";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/integration_zeroMq.gif?version=1&modificationDate=1628775332720&api=v2"";""Image"")";;"+"
"11";"Apache Synapse";"SYNAPSE_СОБЫТИЙНЫЙ_СЕГМЕНТ";"Интеграционные поток / Message Flow

Событийный сегмент";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/integration_synapse.svg.png?version=1&modificationDate=1628775855902&api=v2"";""Image"")";;"+"
"12";"Apache ActiveMQ";"APACHE_ACTIVEMQ";"Интеграционные поток / Message Flow";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/integration_activemq.png?version=1&modificationDate=1628776198159&api=v2"";""Image"")";;"+"
"13";"Мобильное приложение Android";"MOBILE_APP_ANDROID";"Мобильное приложение";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/mapp_android.png?version=1&modificationDate=1628776788330&api=v2"";""Image"")";;"+"
"14";"Мобильное приложение iOS";"MOBILE_APP_IOS";"Мобильное приложение";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/mapp_ios.png?version=1&modificationDate=1628776972530&api=v2"";""Image"")";;"+"
"15";"Мобильное приложение - другое";"MOBILE_APP_OTHER";"Мобильное приложение";;;
"16";"Platform V Synapse Service Mesh";"SYNAPSE_SERVICE_MESH";"Service Mesh";"+ Platform V Sber";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/integration_synapse.svg.png?version=1&modificationDate=1628775855902&api=v2"";""Image"")";
"17";"КСШ Synapse";"KSSH_SYNAPSE";"Service Mesh";"+ Sber";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/integration_synapse.svg.png?version=1&modificationDate=1628775855902&api=v2"";""Image"")";
"18";"Linkerd";"LINKERD";"Service Mesh";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/smesh_linkerd.png?version=1&modificationDate=1628777880650&api=v2"";""Image"")";;"+"
"19";"Consul";"CONSUL";"Service Mesh";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/smesh_consul.png?version=1&modificationDate=1628788321376&api=v2"";""Image"")";;"+"
"20";"Open Service Mesh";"OPEN_SERVICE_MESH";"Service Mesh";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/smesh_open-service-mesh.png?version=1&modificationDate=1628788690474&api=v2"";""Image"")";;"+"
"21";"packed/compiled cpython";"PACKEDCOMPILED_CPYTHON";"All in One (логика + презентация + …)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/all-in-one_cpyton.png?version=1&modificationDate=1628789559354&api=v2"";""Image"")";;"+"
"22";"python";"PYTHON";"All in One (логика + презентация + …)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/all-in-one_python.png?version=1&modificationDate=1628789306633&api=v2"";""Image"")";;"+"
"23";"Node.JS";"NODEJS";"All in One (логика + презентация + …)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/all-in-one-nodejs.png?version=3&modificationDate=1628790075145&api=v2"";""Image"")";;"+"
